2018-05-30 17:23:36.771 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='76d4c745-cf47-45a8-94a3-4e63b4471a5b', name='test0', keywords='just test-716aa76695cf4878b4e400a08b554f19', description='null', sn='sn-333'}
2018-05-30 17:23:36.781 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='ab10a6f0-950c-4e89-a254-b8dce3c7836c', name='test1', keywords='just test-89d5458d35034550aecdedd3b8e79ca3', description='null', sn='sn-333'}
2018-05-30 17:23:36.782 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='617f9469-5082-4b60-8660-3c34dca0f48c', name='test2', keywords='just test-ee44f6bfc2994edebca0efcf0dd0bd99', description='null', sn='sn-333'}
2018-05-30 17:23:36.782 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='fdc7d8a0-1a73-47ac-99f2-bae99edfcfb2', name='test3', keywords='just test-39eb822a99e3475da6a6ca2025b74b00', description='null', sn='sn-333'}
2018-05-30 17:23:36.782 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='76edab91-8956-47a6-910a-285749240552', name='test4', keywords='just test-c4e01d50fa0e426483428c8ec8953ef0', description='null', sn='sn-333'}
2018-05-30 17:23:36.783 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='7230f016-af66-4671-919a-238a7785b317', name='test5', keywords='just test-291ccf2a35c34934b83289b8235b7dbe', description='null', sn='sn-333'}
2018-05-30 17:23:36.783 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='5ed0cad9-da9a-43e6-9e64-7caba247e900', name='test6', keywords='just test-15f4009b7a1042a29de77c9cc00a1e95', description='null', sn='sn-333'}
2018-05-30 17:23:36.784 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='608661a3-5f48-470b-86cb-2c60eca25b50', name='test7', keywords='just test-e3d5aca1af834095ab963a08f0b7add8', description='null', sn='sn-333'}
2018-05-30 17:23:36.784 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='94aca653-b01d-4c3e-b577-0c3d94c831d9', name='test8', keywords='just test-b11d05d970854ea3b005f4e441f14299', description='null', sn='sn-333'}
2018-05-30 17:23:36.784 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='b63cfb9f-fd5a-43d0-9c98-f8e5f45c9820', name='test9', keywords='just test-dcc3e55ee6f84c178195bc8053740618', description='null', sn='sn-333'}
2018-05-30 17:23:36.785 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='525cc4d6-86a8-496f-b6c8-b50f41190364', name='test10', keywords='just test-605102fec8574367ac554e52562a1b51', description='null', sn='sn-333'}
2018-05-30 17:23:36.785 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='dc80a845-d30b-4adc-be54-e87a633b9adb', name='test11', keywords='just test-5693500a775c4ec9a6b1394718292330', description='null', sn='sn-333'}
2018-05-30 17:23:36.786 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='311e76e5-167b-4526-9938-56226a4d2367', name='test12', keywords='just test-c2e9fbdacf3e4439b1a75d5b9dbc8598', description='null', sn='sn-333'}
2018-05-30 17:23:36.786 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='61db47ee-476d-4a1a-a51a-76fec2ab036f', name='test13', keywords='just test-f891e8b618ed4bf1ac52ca7158073753', description='null', sn='sn-333'}
2018-05-30 17:23:36.786 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='fa9d7c4d-5ac1-4e0c-a838-2f470f517f9f', name='test14', keywords='just test-d1025514976245dfa82744d0be1717ca', description='null', sn='sn-333'}
2018-05-30 17:23:36.799 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='c815b834-8d78-4db7-8f3c-43e5e2559d92', name='test15', keywords='just test-682cf914f43c49c792e57e0194ad526b', description='null', sn='sn-333'}
2018-05-30 17:23:36.799 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='dd3d59aa-dbf2-4b66-9bf1-fd7650fdb877', name='test16', keywords='just test-3786ee8a5f9949d6b4e93ea913494cba', description='null', sn='sn-333'}
2018-05-30 17:23:36.800 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='52b4e21e-dfc4-4278-bf87-1f1ebd5f138c', name='test17', keywords='just test-d5d1f01444c64cc787f708a26d344573', description='null', sn='sn-333'}
2018-05-30 17:23:36.800 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='a173e5a6-8d72-48a9-b461-77e505931fad', name='test18', keywords='just test-91a0e37cc6cb4d38ac644ac8f9a4039e', description='null', sn='sn-333'}
2018-05-30 17:23:36.800 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='d053ab6f-4fdf-4184-b513-432003fefe3f', name='test19', keywords='just test-e562fa8cc6264460ad86db0da7feea1a', description='null', sn='sn-333'}
2018-05-30 17:23:36.801 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='d0b05891-3e2e-4757-84be-df184d0855bd', name='test20', keywords='just test-ee2a7ef3b9f949ff9c1b75cc24335a97', description='null', sn='sn-333'}
2018-05-30 17:23:36.801 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='4f96a526-dd8c-4b7f-937e-06ba11c113df', name='test21', keywords='just test-d74018716d3a4ae5ab9c05b623ef28e8', description='null', sn='sn-333'}
2018-05-30 17:23:36.802 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='c4bb4177-f35d-446a-af76-ab3879d1fc09', name='test22', keywords='just test-2e0b7fb68de54dbbbb2e0c046a030f1b', description='null', sn='sn-333'}
2018-05-30 17:23:36.802 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='65b7b1a9-eaca-4361-bdbd-bd9897b2a91c', name='test23', keywords='just test-74882d33a9754244980e4a78756c3995', description='null', sn='sn-333'}
2018-05-30 17:23:36.802 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='57366d35-411b-4cfb-9238-603ae91bb860', name='test24', keywords='just test-08f9a09ec02a4fc4bf39d9bb24b409cf', description='null', sn='sn-333'}
2018-05-30 17:23:36.802 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='4f18a30c-1e1c-431e-af24-20451e3f7463', name='test25', keywords='just test-f6ba6342c89643f1afd0bd61af6cf296', description='null', sn='sn-333'}
2018-05-30 17:23:36.803 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='9b1400d5-4a2e-4e97-81fa-43eefaf6e5ca', name='test26', keywords='just test-818afd2a7a1a4d8b9e7090574c288f10', description='null', sn='sn-333'}
2018-05-30 17:23:36.803 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='abc9ce42-466f-42bc-83ae-abf76207bdc1', name='test27', keywords='just test-2b5489e5307745b3a2d5d86c60b08e38', description='null', sn='sn-333'}
2018-05-30 17:23:36.803 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='56f9727e-411e-4ad9-85d4-2fec4803f1e6', name='test28', keywords='just test-d704c8b8f68443b987672f6003418260', description='null', sn='sn-333'}
2018-05-30 17:23:36.804 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='7c954df0-0103-4476-92a0-8ba243681b8a', name='test29', keywords='just test-1d812324597f41098951f2c340b434ad', description='null', sn='sn-333'}
2018-05-30 17:23:36.804 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='1da682df-577b-4457-b786-56909b949767', name='test30', keywords='just test-d562684d9cfa4b1c81ac31ea7fb79854', description='null', sn='sn-333'}
2018-05-30 17:23:36.804 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='922cc8b1-74ee-4692-a104-9eebf583efc7', name='test31', keywords='just test-0ceeda15f24d45ebb5188354f947fd23', description='null', sn='sn-333'}
2018-05-30 17:23:36.804 INFO  com.jf.mydemo.mySolrDemo.solrUtil.SolrIndexUtils 39 addIndexs -- Start adding solr index for Product{id='7dbf2f56-9740-489e-833f-05fb943e2e1b', name='test32', keywords='just test-f7bad01af10249768d4f3db93e8f91ce', description='null', sn='sn-333'}
